emp_id,status,turnover,location,level,date_of_joining,date_of_birth,last_working_date,gender,department,mgr_id,cutoff_date,generation,emp_age
E4457,Inactive,1,New York,Analyst,27/04/2011,01/01/1991,16/04/2014,Male,Customer Operations,E14019,31/12/2014,Millennials,23.3
E4257,Inactive,1,New York,Analyst,01/01/2011,15/12/1990,27/02/2014,Female,Customer Operations,E879,31/12/2014,Millennials,23.2
E4150,Inactive,1,New York,Analyst,04/07/2012,14/02/1991,15/01/2014,Male,Customer Operations,E6030,31/12/2014,Millennials,22.9
E3945,Inactive,1,New York,Analyst,30/03/2012,10/08/1991,18/05/2014,Male,Customer Operations,E9446,31/12/2014,Millennials,22.8
E13412,Active,0,New York,Specialist,01/01/2011,16/01/1991,NA,Female,Customer Operations,E359,31/12/2014,Millennials,24
E440,Active,0,New York,Specialist,01/01/2011,22/11/1990,NA,Female,Customer Operations,E359,31/12/2014,Millennials,24.1
E12051,Active,0,New York,Specialist,01/01/2011,18/12/1990,NA,Female,Customer Operations,E359,31/12/2014,Millennials,24.1
E7136,Active,0,Florida,Specialist,29/06/2011,28/08/1990,NA,Male,Customer Operations,E88,31/12/2014,Millennials,24.4
E2663,Active,0,New York,Specialist,27/04/2011,23/07/1990,NA,Male,Customer Operations,E8330,31/12/2014,Millennials,24.5
E4086,Inactive,1,New York,Specialist,05/08/2011,08/10/1990,20/11/2014,Male,Customer Operations,E3638,31/12/2014,Millennials,24.1
E12,Active,0,New York,Analyst,17/08/2011,31/10/1990,NA,Female,Customer Operations,E11266,31/12/2014,Millennials,24.2
E13791,Inactive,1,New York,Analyst,09/03/2012,11/03/1991,23/10/2014,Male,Customer Operations,E13633,31/12/2014,Millennials,23.6
E47,Active,0,Chicago,Analyst,12/10/2011,02/08/1990,NA,Male,Customer Operations,E13501,31/12/2014,Millennials,24.4
E68,Active,0,New York,Analyst,09/03/2012,07/05/1991,NA,Female,Customer Operations,E10774,31/12/2014,Millennials,23.7
E127,Inactive,1,New York,Analyst,18/07/2012,18/03/1991,16/09/2014,Male,Customer Operations,E6655,31/12/2014,Millennials,23.5
E13490,Inactive,1,Chicago,Analyst,29/06/2011,28/09/1990,30/10/2014,Female,Customer Operations,E3035,31/12/2014,Millennials,24.1
E179,Inactive,1,New York,Analyst,25/02/2011,14/08/1990,23/10/2014,Male,Customer Operations,E12897,31/12/2014,Millennials,24.2
E13342,Active,0,New York,Analyst,04/11/2011,29/07/1990,NA,Male,Customer Operations,E4051,31/12/2014,Millennials,24.4
E13272,Inactive,1,New York,Analyst,09/06/2012,24/02/1990,07/08/2014,Male,Customer Operations,E2927,31/12/2014,Millennials,24.5
E13090,Active,0,Florida,Analyst,04/01/2012,18/10/1990,NA,Male,Customer Operations,E88,31/12/2014,Millennials,24.2
E13028,Inactive,1,New York,Analyst,28/10/2011,31/07/1990,26/06/2014,Female,Customer Operations,E7466,31/12/2014,Millennials,23.9
E13014,Active,0,Florida,Analyst,06/07/2012,11/06/1991,NA,Male,Customer Operations,E88,31/12/2014,Millennials,23.6
E12946,Active,0,New York,Analyst,22/03/2012,17/09/1990,NA,Male,Customer Operations,E667,31/12/2014,Millennials,24.3
E12927,Active,0,New York,Analyst,04/07/2012,08/05/1991,NA,Male,Customer Operations,E12308,31/12/2014,Millennials,23.7
E432,Inactive,1,New York,Analyst,29/12/2010,20/09/1989,27/02/2014,Male,Customer Operations,E5424,31/12/2014,Millennials,24.5
E12594,Active,0,Florida,Analyst,26/07/2012,14/04/1991,NA,Male,Customer Operations,E7018,31/12/2014,Millennials,23.7
E486,Inactive,1,New York,Analyst,18/07/2012,14/01/1991,16/09/2014,Male,Customer Operations,E11464,31/12/2014,Millennials,23.7
E12441,Active,0,New York,Analyst,15/04/2011,24/08/1990,NA,Male,Customer Operations,E4030,31/12/2014,Millennials,24.4
E12438,Active,0,New York,Analyst,02/05/2012,14/10/1990,NA,Female,Customer Operations,E10774,31/12/2014,Millennials,24.2
E12419,Inactive,1,New York,Analyst,03/08/2011,28/02/1990,03/07/2014,Female,Customer Operations,E3575,31/12/2014,Millennials,24.4
E12402,Inactive,1,New York,Analyst,22/03/2012,29/03/1990,17/07/2014,Male,Customer Operations,E5575,31/12/2014,Millennials,24.3
E522,Active,0,Florida,Analyst,11/05/2011,01/12/1990,NA,Male,Customer Operations,E13421,31/12/2014,Millennials,24.1
E12385,Active,0,New York,Analyst,02/05/2012,08/09/1990,NA,Female,Customer Operations,E11147,31/12/2014,Millennials,24.3
E8258,Inactive,1,New York,Analyst,01/01/2011,01/12/1990,09/12/2014,Female,Customer Operations,E6655,31/12/2014,Millennials,24
E12166,Active,0,New York,Analyst,05/08/2011,06/12/1990,NA,Female,Customer Operations,E1475,31/12/2014,Millennials,24.1
E12152,Inactive,1,New York,Analyst,22/03/2012,23/06/1990,30/10/2014,Male,Customer Operations,E4588,31/12/2014,Millennials,24.4
E12145,Active,0,New York,Analyst,02/05/2012,22/06/1991,NA,Male,Customer Operations,E12078,31/12/2014,Millennials,23.5
E12079,Active,0,New York,Analyst,02/09/2011,12/12/1990,NA,Male,Customer Operations,E7896,31/12/2014,Millennials,24.1
E656,Active,0,New York,Analyst,17/02/2012,12/11/1990,NA,Male,Customer Operations,E4051,31/12/2014,Millennials,24.2
E11988,Inactive,1,New York,Analyst,15/04/2011,28/12/1989,14/05/2014,Female,Customer Operations,E14069,31/12/2014,Millennials,24.4
E11959,Inactive,1,New York,Analyst,01/01/2011,02/09/1990,19/06/2014,Female,Customer Operations,E8163,31/12/2014,Millennials,23.8
E11881,Active,0,New York,Analyst,09/09/2011,15/06/1991,NA,Male,Customer Operations,E13652,31/12/2014,Millennials,23.6
E702,Active,0,Florida,Analyst,08/06/2011,05/12/1990,NA,Female,Customer Operations,E12279,31/12/2014,Millennials,24.1
E11810,Active,0,Florida,Analyst,26/07/2012,26/04/1991,NA,Male,Customer Operations,E7018,31/12/2014,Millennials,23.7
E11806,Active,0,New York,Analyst,15/07/2011,15/09/1990,NA,Male,Customer Operations,E12073,31/12/2014,Millennials,24.3
E11679,Active,0,New York,Analyst,18/04/2012,25/03/1991,NA,Female,Customer Operations,E8582,31/12/2014,Millennials,23.8
E824,Inactive,1,New York,Analyst,17/08/2011,23/03/1990,28/01/2014,Male,Customer Operations,E879,31/12/2014,Millennials,23.9
E837,Active,0,Chicago,Analyst,21/09/2011,21/07/1990,NA,Male,Customer Operations,E1614,31/12/2014,Millennials,24.5
E11380,Active,0,New York,Analyst,01/01/2011,21/12/1990,NA,Female,Customer Operations,E11266,31/12/2014,Millennials,24
E11327,Active,0,New York,Analyst,31/07/2011,14/03/1991,NA,Male,Customer Operations,E8017,31/12/2014,Millennials,23.8
E11154,Active,0,New York,Analyst,22/03/2012,20/11/1990,NA,Male,Customer Operations,E12897,31/12/2014,Millennials,24.1
E995,Inactive,1,Florida,Analyst,25/01/2012,23/07/1990,03/07/2014,Male,Customer Operations,E13810,31/12/2014,Millennials,24
E10932,Active,0,New York,Analyst,17/02/2012,27/01/1991,NA,Male,Customer Operations,E9182,31/12/2014,Millennials,23.9
E10801,Inactive,1,New York,Analyst,10/11/2011,27/09/1990,02/06/2014,Male,Customer Operations,E12073,31/12/2014,Millennials,23.7
E1087,Active,0,New York,Analyst,09/06/2012,28/11/1990,NA,Male,Customer Operations,E12897,31/12/2014,Millennials,24.1
E10589,Active,0,New York,Analyst,18/02/2012,15/11/1990,NA,Male,Customer Operations,E1454,31/12/2014,Millennials,24.1
E10486,Inactive,1,New York,Analyst,17/02/2012,27/11/1989,03/04/2014,Male,Customer Operations,E11816,31/12/2014,Millennials,24.4
E10358,Inactive,1,New York,Analyst,24/07/2011,20/11/1990,02/06/2014,Female,Customer Operations,E10863,31/12/2014,Millennials,23.6
E9950,Active,0,New York,Analyst,09/12/2011,15/12/1990,NA,Male,Customer Operations,E8017,31/12/2014,Millennials,24.1
E9904,Inactive,1,Florida,Analyst,30/05/2012,03/11/1989,04/03/2014,Female,Customer Operations,E11047,31/12/2014,Millennials,24.4
E9733,Active,0,New York,Analyst,18/04/2012,29/10/1990,NA,Male,Customer Operations,E1475,31/12/2014,Millennials,24.2
E9686,Inactive,1,New York,Analyst,17/02/2012,23/01/1990,10/06/2014,Male,Customer Operations,E5424,31/12/2014,Millennials,24.4
E1387,Active,0,New York,Analyst,17/02/2012,29/05/1991,NA,Male,Customer Operations,E13652,31/12/2014,Millennials,23.6
E9283,Active,0,New York,Analyst,10/08/2011,25/08/1990,NA,Male,Customer Operations,E8017,31/12/2014,Millennials,24.4
E9158,Active,0,New York,Analyst,09/03/2012,09/01/1991,NA,Male,Customer Operations,E3606,31/12/2014,Millennials,24
E9146,Inactive,1,New York,Analyst,10/06/2010,25/11/1989,27/02/2014,Male,Customer Operations,E11816,31/12/2014,Millennials,24.3
E9100,Active,0,New York,Analyst,04/11/2011,29/12/1990,NA,Male,Customer Operations,E11704,31/12/2014,Millennials,24
E1541,Inactive,1,New York,Analyst,30/03/2012,12/03/1990,01/09/2014,Male,Customer Operations,E2927,31/12/2014,Millennials,24.5
E9061,Inactive,1,New York,Analyst,22/03/2012,15/07/1990,14/12/2014,Female,Customer Operations,E359,31/12/2014,Millennials,24.4
E8982,Inactive,1,New York,Analyst,01/01/2011,08/05/1990,14/08/2014,Female,Customer Operations,E11264,31/12/2014,Millennials,24.3
E8605,Active,0,New York,Analyst,18/05/2012,14/05/1991,NA,Female,Customer Operations,E1131,31/12/2014,Millennials,23.7
E1730,Active,0,New York,Analyst,22/03/2012,22/11/1990,NA,Male,Customer Operations,E1475,31/12/2014,Millennials,24.1
E8485,Active,0,New York,Analyst,09/06/2012,26/02/1991,NA,Female,Customer Operations,E3606,31/12/2014,Millennials,23.9
E8416,Active,0,New York,Analyst,26/01/2011,03/01/1991,NA,Male,Customer Operations,E2285,31/12/2014,Millennials,24
E8411,Active,0,New York,Analyst,19/09/2012,08/10/1990,NA,Male,Customer Operations,E11147,31/12/2014,Millennials,24.3
E8381,Active,0,New York,Analyst,25/02/2011,26/01/1991,NA,Female,Customer Operations,E12308,31/12/2014,Millennials,24
E8220,Inactive,1,New York,Analyst,17/02/2012,16/05/1990,28/08/2014,Female,Customer Operations,E2285,31/12/2014,Millennials,24.3
E1862,Active,0,New York,Analyst,09/12/2011,25/10/1990,NA,Male,Customer Operations,E7896,31/12/2014,Millennials,24.2
E8061,Active,0,Florida,Analyst,06/07/2012,18/04/1991,NA,Male,Customer Operations,E88,31/12/2014,Millennials,23.7
E8057,Inactive,1,New York,Analyst,10/08/2011,07/06/1990,03/07/2014,Female,Customer Operations,E13959,31/12/2014,Millennials,24.1
E7990,Active,0,New York,Analyst,04/11/2011,19/10/1990,NA,Male,Customer Operations,E11704,31/12/2014,Millennials,24.2
E7919,Active,0,New York,Analyst,15/07/2011,04/03/1991,NA,Male,Customer Operations,E6655,31/12/2014,Millennials,23.8
E7793,Active,0,New York,Analyst,25/02/2011,14/12/1990,NA,Female,Customer Operations,E12897,31/12/2014,Millennials,24.1
E1959,Active,0,New York,Analyst,30/03/2012,25/02/1991,NA,Male,Customer Operations,E2927,31/12/2014,Millennials,23.9
E7738,Inactive,1,New York,Analyst,01/01/2011,04/08/1990,10/09/2014,Female,Customer Operations,E1690,31/12/2014,Millennials,24.1
E7552,Inactive,1,New York,Analyst,09/12/2011,18/05/1990,05/06/2014,Male,Customer Operations,E162,31/12/2014,Millennials,24.1
E2114,Active,0,Florida,Analyst,19/09/2012,09/01/1991,NA,Male,Customer Operations,E3312,31/12/2014,Millennials,24
E2120,Inactive,1,New York,Analyst,30/09/2011,25/06/1990,02/01/2014,Male,Customer Operations,E11954,31/12/2014,Millennials,23.5
E7181,Active,0,New York,Analyst,07/10/2011,05/08/1990,NA,Female,Customer Operations,E6655,31/12/2014,Millennials,24.4
E7129,Inactive,1,Florida,Analyst,06/07/2011,07/07/1990,03/07/2014,Male,Customer Operations,E13928,31/12/2014,Millennials,24
E6987,Active,0,New York,Analyst,02/09/2011,17/08/1990,NA,Female,Customer Operations,E9182,31/12/2014,Millennials,24.4
E6962,Active,0,Florida,Analyst,15/08/2012,04/06/1991,NA,Female,Customer Operations,E13915,31/12/2014,Millennials,23.6
E6755,Inactive,1,New York,Analyst,09/07/2010,11/11/1989,30/01/2014,Female,Customer Operations,E5406,31/12/2014,Millennials,24.2
E6684,Active,0,Florida,Analyst,14/03/2012,26/10/1990,NA,Male,Customer Operations,E13912,31/12/2014,Millennials,24.2
E6633,Active,0,Florida,Analyst,16/05/2012,28/06/1991,NA,Female,Customer Operations,E13915,31/12/2014,Millennials,23.5
E2330,Inactive,1,New York,Analyst,25/02/2011,10/10/1989,03/04/2014,Female,Customer Operations,E12038,31/12/2014,Millennials,24.5
E6399,Active,0,Florida,Analyst,16/05/2012,27/09/1990,NA,Male,Customer Operations,E13915,31/12/2014,Millennials,24.3
E2382,Inactive,1,New York,Analyst,30/03/2012,30/07/1990,18/06/2014,Female,Customer Operations,E11266,31/12/2014,Millennials,23.9
E2403,Active,0,Florida,Analyst,06/07/2012,17/03/1991,NA,Male,Customer Operations,E12855,31/12/2014,Millennials,23.8
E6217,Active,0,Florida,Analyst,29/02/2012,20/06/1991,NA,Female,Customer Operations,E1149,31/12/2014,Millennials,23.6
E6092,Active,0,New York,Analyst,24/07/2011,05/01/1991,NA,Male,Customer Operations,E3606,31/12/2014,Millennials,24
E2494,Inactive,1,New York,Analyst,27/03/2010,08/04/1990,01/09/2014,Female,Customer Operations,E3606,31/12/2014,Millennials,24.4
E2509,Active,0,Florida,Analyst,18/01/2012,05/06/1991,NA,Female,Customer Operations,E13935,31/12/2014,Millennials,23.6
E5958,Active,0,New York,Analyst,09/03/2012,23/06/1991,NA,Male,Customer Operations,E11704,31/12/2014,Millennials,23.5
E5935,Active,0,New York,Analyst,21/12/2011,06/12/1990,NA,Female,Customer Operations,E6655,31/12/2014,Millennials,24.1
E2585,Active,0,Chicago,Analyst,21/04/2011,28/08/1990,NA,Female,Customer Operations,E3993,31/12/2014,Millennials,24.4
E5707,Active,0,New York,Analyst,18/02/2012,14/12/1990,NA,Female,Customer Operations,E8030,31/12/2014,Millennials,24.1
E5702,Inactive,1,Florida,Analyst,19/09/2012,13/04/1991,10/11/2014,Male,Customer Operations,E1228,31/12/2014,Millennials,23.6
E2611,Active,0,New York,Analyst,22/03/2012,16/10/1990,NA,Male,Customer Operations,E6655,31/12/2014,Millennials,24.2
E5592,Active,0,Chicago,Analyst,28/12/2011,05/10/1990,NA,Female,Customer Operations,E3993,31/12/2014,Millennials,24.3
E2653,Inactive,1,New York,Analyst,09/06/2012,28/10/1990,20/11/2014,Male,Customer Operations,E1361,31/12/2014,Millennials,24.1
E5524,Active,0,New York,Analyst,30/03/2012,02/05/1991,NA,Male,Customer Operations,E4955,31/12/2014,Millennials,23.7
E5520,Active,0,Chicago,Analyst,19/09/2012,24/03/1991,NA,Male,Customer Operations,E5892,31/12/2014,Millennials,23.8
E5439,Active,0,New York,Analyst,18/07/2012,30/11/1990,NA,Male,Customer Operations,E1475,31/12/2014,Millennials,24.1
E5326,Active,0,New York,Analyst,09/03/2012,21/09/1990,NA,Female,Customer Operations,E11704,31/12/2014,Millennials,24.3
E2771,Active,0,New York,Analyst,17/02/2012,20/02/1991,NA,Male,Customer Operations,E11704,31/12/2014,Millennials,23.9
E5196,Inactive,1,New York,Analyst,15/07/2011,06/11/1990,15/05/2014,Female,Customer Operations,E9149,31/12/2014,Millennials,23.5
E4630,Active,0,Florida,Analyst,22/02/2012,23/02/1991,NA,Female,Customer Operations,E1149,31/12/2014,Millennials,23.9
E4547,Active,0,New York,Analyst,30/03/2012,28/04/1991,NA,Female,Customer Operations,E2927,31/12/2014,Millennials,23.7
E4536,Inactive,1,New York,Analyst,15/04/2011,20/10/1989,29/01/2014,Female,Customer Operations,E2812,31/12/2014,Millennials,24.3
E4388,Active,0,New York,Analyst,02/05/2012,26/11/1990,NA,Female,Customer Operations,E10774,31/12/2014,Millennials,24.1
E4291,Active,0,New York,Analyst,10/08/2011,06/10/1990,NA,Female,Customer Operations,E8582,31/12/2014,Millennials,24.3
E4514,Inactive,1,Chicago,Analyst,25/05/2011,28/10/1990,26/12/2014,Male,Customer Operations,E1922,31/12/2014,Millennials,24.2
E4192,Active,0,New York,Analyst,05/08/2011,19/12/1990,NA,Male,Customer Operations,E12897,31/12/2014,Millennials,24.1
E3123,Inactive,1,Florida,Analyst,17/08/2011,14/04/1990,17/08/2014,Female,Customer Operations,E3643,31/12/2014,Millennials,24.4
E4052,Active,0,New York,Analyst,09/03/2012,26/07/1990,NA,Female,Customer Operations,E8582,31/12/2014,Millennials,24.5
E4050,Inactive,1,New York,Analyst,09/06/2012,21/05/1990,04/09/2014,Male,Customer Operations,E1270,31/12/2014,Millennials,24.3
E3144,Active,0,New York,Analyst,15/07/2011,31/07/1990,NA,Female,Customer Operations,E12073,31/12/2014,Millennials,24.4
E4011,Active,0,New York,Analyst,21/10/2011,16/09/1990,NA,Female,Customer Operations,E8017,31/12/2014,Millennials,24.3
E3842,Active,0,New York,Analyst,09/12/2011,14/10/1990,NA,Female,Customer Operations,E1454,31/12/2014,Millennials,24.2
E3695,Active,0,New York,Analyst,15/04/2011,15/12/1990,NA,Male,Customer Operations,E8017,31/12/2014,Millennials,24.1
E3512,Inactive,1,New York,Analyst,18/04/2012,04/10/1990,30/04/2014,Male,Customer Operations,E12229,31/12/2014,Millennials,23.6
E3494,Active,0,New York,Analyst,02/05/2012,24/10/1990,NA,Male,Customer Operations,E1171,31/12/2014,Millennials,24.2
E3300,Inactive,1,New York,Analyst,28/12/2011,11/05/1990,15/02/2014,Female,Customer Operations,E4176,31/12/2014,Millennials,23.8
E3355,Active,0,New York,Analyst,04/07/2012,27/06/1991,NA,Female,Customer Operations,E12078,31/12/2014,Millennials,23.5
E13808,Active,0,New York,Assistant Manager,22/10/2010,22/11/1989,NA,Female,Customer Operations,E9286,31/12/2014,Millennials,25
E13662,Active,0,New York,Specialist,27/04/2011,28/05/1990,NA,Male,Customer Operations,E1406,31/12/2014,Millennials,24.6
E11392,Active,0,New York,Specialist,17/02/2012,12/11/1989,NA,Male,Customer Operations,E8571,31/12/2014,Millennials,25.2
E1115,Active,0,New York,Specialist,25/02/2011,10/02/1990,NA,Female,Customer Operations,E73,31/12/2014,Millennials,24.9
E10048,Active,0,New York,Specialist,20/05/2011,18/06/1990,NA,Male,Customer Operations,E7063,31/12/2014,Millennials,24.6
E1829,Active,0,New York,Specialist,26/11/2010,14/01/1990,NA,Female,Customer Operations,E1475,31/12/2014,Millennials,25
E7707,Inactive,1,Florida,Specialist,14/03/2012,04/04/1989,20/03/2014,Female,Customer Operations,E13915,31/12/2014,Millennials,25
E2496,Inactive,1,New York,Specialist,29/12/2010,22/11/1988,23/02/2014,Male,Customer Operations,E4030,31/12/2014,Millennials,25.3
E5739,Active,0,Florida,Specialist,19/01/2011,04/02/1990,NA,Female,Customer Operations,E13176,31/12/2014,Millennials,24.9
E4955,Active,0,New York,Specialist,04/08/2010,16/08/1989,NA,Male,Customer Operations,E12944,31/12/2014,Millennials,25.4
E4784,Inactive,1,Florida,Specialist,29/12/2010,11/10/1988,02/03/2014,Female,Customer Operations,E3932,31/12/2014,Millennials,25.4
E13845,Active,0,Florida,Analyst,19/09/2012,02/02/1990,NA,Male,Customer Operations,E3555,31/12/2014,Millennials,24.9
E13838,Active,0,New York,Analyst,25/02/2011,08/03/1990,NA,Female,Customer Operations,E12897,31/12/2014,Millennials,24.8
E13799,Active,0,New York,Analyst,31/07/2011,11/05/1990,NA,Male,Customer Operations,E12038,31/12/2014,Millennials,24.7
E13775,Active,0,New York,Analyst,31/08/2011,11/10/1989,NA,Female,Customer Operations,E9351,31/12/2014,Millennials,25.2
E13774,Active,0,Florida,Analyst,27/07/2011,26/02/1990,NA,Male,Customer Operations,E1149,31/12/2014,Millennials,24.9
E83,Active,0,Florida,Analyst,19/09/2012,02/12/1989,NA,Male,Customer Operations,E3312,31/12/2014,Millennials,25.1
E130,Active,0,New York,Analyst,28/12/2011,02/05/1990,NA,Male,Customer Operations,E6655,31/12/2014,Millennials,24.7
E13485,Active,0,New York,Analyst,21/12/2011,01/11/1989,NA,Female,Customer Operations,E12073,31/12/2014,Millennials,25.2
E13340,Active,0,New York,Analyst,17/08/2011,02/07/1990,NA,Male,Customer Operations,E11266,31/12/2014,Millennials,24.5
E13296,Active,0,Florida,Analyst,25/01/2012,16/06/1990,NA,Female,Customer Operations,E10429,31/12/2014,Millennials,24.6
E214,Active,0,Florida,Analyst,08/06/2011,17/08/1989,NA,Female,Customer Operations,E5654,31/12/2014,Millennials,25.4
E13240,Inactive,1,Chicago,Analyst,06/03/2011,01/12/1989,20/11/2014,Female,Customer Operations,E7616,31/12/2014,Millennials,25
E245,Active,0,Florida,Analyst,25/01/2012,04/11/1989,NA,Male,Customer Operations,E3089,31/12/2014,Millennials,25.2
E13217,Active,0,New York,Analyst,30/03/2012,07/03/1990,NA,Female,Customer Operations,E1003,31/12/2014,Millennials,24.8
E13154,Inactive,1,Florida,Analyst,14/12/2011,07/06/1989,15/05/2014,Male,Customer Operations,E12498,31/12/2014,Millennials,25
E13145,Inactive,1,New York,Analyst,17/02/2012,11/10/1989,04/09/2014,Female,Customer Operations,E8862,31/12/2014,Millennials,24.9
E13038,Active,0,Florida,Analyst,01/02/2012,06/10/1989,NA,Male,Customer Operations,E88,31/12/2014,Millennials,25.3
E12963,Active,0,New York,Analyst,30/11/2011,28/08/1989,NA,Male,Customer Operations,E12078,31/12/2014,Millennials,25.4
E381,Active,0,New York,Analyst,23/07/2010,17/12/1989,NA,Female,Customer Operations,E6655,31/12/2014,Millennials,25.1
E12696,Active,0,New York,Analyst,09/03/2012,24/11/1989,NA,Female,Customer Operations,E10774,31/12/2014,Millennials,25.1
E12668,Active,0,New York,Analyst,17/08/2011,21/09/1989,NA,Male,Customer Operations,E2106,31/12/2014,Millennials,25.3
